trade_type,fr_orig,fr_inmode,fr_dest,fr_outmode,dms_orig,dms_orig_cnty,dms_dest,dms_dest_cnty,sctgG5,dms_mode,tons_2022
1,,,,,151,15003,151,15003,sctg0109,11,1534.6377160
1,,,,,151,15003,151,15003,sctg0109,5,0.0139020
1,,,,,151,15003,159,15001,sctg0109,11,9.4717670
1,,,,,151,15003,159,15001,sctg0109,3,3.5886580
1,,,,,151,15003,159,15001,sctg0109,5,18.9410466
1,,,,,151,15003,159,15005,sctg0109,11,1.1401505
1,,,,,151,15003,159,15005,sctg0109,5,2.2800016
1,,,,,151,15003,159,15007,sctg0109,11,4.6383937
1,,,,,151,15003,159,15007,sctg0109,3,3.9220676
1,,,,,151,15003,159,15007,sctg0109,5,9.2755692
1,,,,,151,15003,159,15009,sctg0109,11,8.0002768
1,,,,,151,15003,159,15009,sctg0109,3,3.8288665
1,,,,,151,15003,159,15009,sctg0109,5,15.9984525
1,,,,,159,15001,151,15003,sctg0109,11,2.8609602
1,,,,,159,15001,151,15003,sctg0109,3,1.4659076
1,,,,,159,15001,151,15003,sctg0109,5,7.2734720
1,,,,,159,15001,159,15001,sctg0109,11,55.0579444
1,,,,,159,15001,159,15001,sctg0109,3,0.6668687
1,,,,,159,15001,159,15001,sctg0109,5,31.4537124
1,,,,,159,15001,159,15005,sctg0109,11,6.6275220
1,,,,,159,15001,159,15005,sctg0109,5,3.7861960
1,,,,,159,15001,159,15007,sctg0109,11,26.9622786
1,,,,,159,15001,159,15007,sctg0109,3,0.7288251
1,,,,,159,15001,159,15007,sctg0109,5,15.4031133
1,,,,,159,15001,159,15009,sctg0109,11,46.5043948
1,,,,,159,15001,159,15009,sctg0109,3,0.7115059
1,,,,,159,15001,159,15009,sctg0109,5,26.5672080
1,,,,,159,15005,151,15003,sctg0109,11,1.3238170
1,,,,,159,15005,151,15003,sctg0109,5,3.3655645
1,,,,,159,15005,159,15001,sctg0109,11,25.4762871
1,,,,,159,15005,159,15001,sctg0109,5,14.5541904
1,,,,,159,15005,159,15005,sctg0109,11,3.0666719
1,,,,,159,15005,159,15005,sctg0109,5,1.7519400
1,,,,,159,15005,159,15007,sctg0109,11,12.4759244
1,,,,,159,15005,159,15007,sctg0109,5,7.1272937
1,,,,,159,15005,159,15009,sctg0109,11,21.5184081
1,,,,,159,15005,159,15009,sctg0109,5,12.2931182
1,,,,,159,15007,151,15003,sctg0109,11,1.9718573
1,,,,,159,15007,151,15003,sctg0109,3,1.4502595
1,,,,,159,15007,151,15003,sctg0109,5,5.0130894
1,,,,,159,15007,159,15001,sctg0109,11,37.9475440
1,,,,,159,15007,159,15001,sctg0109,3,0.6597500
1,,,,,159,15007,159,15001,sctg0109,5,21.6788176
1,,,,,159,15007,159,15005,sctg0109,11,4.5678818
1,,,,,159,15007,159,15005,sctg0109,5,2.6095569
1,,,,,159,15007,159,15007,sctg0109,11,18.5831902
1,,,,,159,15007,159,15007,sctg0109,3,0.7210451
1,,,,,159,15007,159,15007,sctg0109,5,10.6162758
1,,,,,159,15007,159,15009,sctg0109,11,32.0521877
1,,,,,159,15007,159,15009,sctg0109,3,0.7039107
1,,,,,159,15007,159,15009,sctg0109,5,18.3108960
1,,,,,159,15009,151,15003,sctg0109,11,2.6607945
1,,,,,159,15009,151,15003,sctg0109,3,1.4621349
1,,,,,159,15009,151,15003,sctg0109,5,6.7645872
1,,,,,159,15009,159,15001,sctg0109,11,51.2058429
1,,,,,159,15009,159,15001,sctg0109,3,0.6651524
1,,,,,159,15009,159,15001,sctg0109,5,29.2530692
1,,,,,159,15009,159,15005,sctg0109,11,6.1638307
1,,,,,159,15009,159,15005,sctg0109,5,3.5212967
1,,,,,159,15009,159,15007,sctg0109,11,25.0758763
1,,,,,159,15009,159,15007,sctg0109,3,0.7269494
1,,,,,159,15009,159,15007,sctg0109,5,14.3254422
1,,,,,159,15009,159,15009,sctg0109,11,43.2507381
1,,,,,159,15009,159,15009,sctg0109,3,0.7096747
1,,,,,159,15009,159,15009,sctg0109,5,24.7084466
2,801,3,,,151,15003,151,15003,sctg0109,11,0.0057830
2,801,3,,,151,15003,151,15003,sctg0109,3,0.0010630
2,801,3,,,151,15003,151,15003,sctg0109,5,0.0005310
2,801,3,,,151,15003,159,15001,sctg0109,3,0.0002636
2,801,3,,,151,15003,159,15001,sctg0109,5,0.0009952
2,801,3,,,151,15003,159,15005,sctg0109,5,0.0001198
2,801,3,,,151,15003,159,15007,sctg0109,3,0.0002881
2,801,3,,,151,15003,159,15007,sctg0109,5,0.0004874
2,801,3,,,151,15003,159,15009,sctg0109,3,0.0002813
2,801,3,,,151,15003,159,15009,sctg0109,5,0.0008406
2,801,4,,,151,15003,151,15003,sctg0109,11,0.0095030
2,801,4,,,151,15003,159,15001,sctg0109,11,0.0017195
2,801,4,,,151,15003,159,15005,sctg0109,11,0.0002070
2,801,4,,,151,15003,159,15007,sctg0109,11,0.0008421
2,801,4,,,151,15003,159,15009,sctg0109,11,0.0014524
2,801,4,,,159,15001,151,15003,sctg0109,11,0.0000000
2,801,4,,,159,15001,159,15001,sctg0109,11,0.0000000
2,801,4,,,159,15001,159,15005,sctg0109,11,0.0000000
2,801,4,,,159,15001,159,15007,sctg0109,11,0.0000000
2,801,4,,,159,15001,159,15009,sctg0109,11,0.0000000
2,801,4,,,159,15005,151,15003,sctg0109,11,0.0000000
2,801,4,,,159,15005,159,15001,sctg0109,11,0.0000000
2,801,4,,,159,15005,159,15005,sctg0109,11,0.0000000
2,801,4,,,159,15005,159,15007,sctg0109,11,0.0000000
2,801,4,,,159,15005,159,15009,sctg0109,11,0.0000000
2,801,4,,,159,15007,151,15003,sctg0109,11,0.0000000
2,801,4,,,159,15007,159,15001,sctg0109,11,0.0000000
2,801,4,,,159,15007,159,15005,sctg0109,11,0.0000000
2,801,4,,,159,15007,159,15007,sctg0109,11,0.0000000
2,801,4,,,159,15007,159,15009,sctg0109,11,0.0000000
2,801,4,,,159,15009,151,15003,sctg0109,11,0.0000000
2,801,4,,,159,15009,159,15001,sctg0109,11,0.0000000
2,801,4,,,159,15009,159,15005,sctg0109,11,0.0000000
2,801,4,,,159,15009,159,15007,sctg0109,11,0.0000000
2,801,4,,,159,15009,159,15009,sctg0109,11,0.0000000
2,802,3,,,151,15003,151,15003,sctg0109,11,0.0214900
2,802,3,,,151,15003,151,15003,sctg0109,3,0.0038640
2,802,3,,,151,15003,151,15003,sctg0109,5,0.0019310
2,802,3,,,151,15003,159,15001,sctg0109,3,0.0011991
2,802,3,,,151,15003,159,15001,sctg0109,5,0.0033922
2,802,3,,,151,15003,159,15005,sctg0109,5,0.0004083
2,802,3,,,151,15003,159,15007,sctg0109,3,0.0013105
2,802,3,,,151,15003,159,15007,sctg0109,5,0.0016612
2,802,3,,,151,15003,159,15009,sctg0109,3,0.0012794
2,802,3,,,151,15003,159,15009,sctg0109,5,0.0028652
2,802,4,,,151,15003,151,15003,sctg0109,11,0.0829620
2,802,4,,,151,15003,159,15001,sctg0109,11,0.0150094
2,802,4,,,151,15003,159,15005,sctg0109,11,0.0018067
2,802,4,,,151,15003,159,15007,sctg0109,11,0.0073502
2,802,4,,,151,15003,159,15009,sctg0109,11,0.0126776
2,802,4,,,159,15001,151,15003,sctg0109,11,0.0000000
2,802,4,,,159,15005,151,15003,sctg0109,11,0.0000000
2,802,4,,,159,15007,151,15003,sctg0109,11,0.0000000
2,802,4,,,159,15009,151,15003,sctg0109,11,0.0000000
2,803,3,,,151,15003,151,15003,sctg0109,11,0.4035980
2,803,3,,,151,15003,151,15003,sctg0109,3,0.0875070
2,803,3,,,151,15003,151,15003,sctg0109,5,0.0171110
2,803,3,,,151,15003,159,15001,sctg0109,3,0.0248490
2,803,3,,,151,15003,159,15001,sctg0109,5,0.0599574
2,803,3,,,151,15003,159,15005,sctg0109,5,0.0072173
2,803,3,,,151,15003,159,15007,sctg0109,3,0.0271577
2,803,3,,,151,15003,159,15007,sctg0109,5,0.0293616
2,803,3,,,151,15003,159,15009,sctg0109,3,0.0265123
2,803,3,,,151,15003,159,15009,sctg0109,5,0.0506427
2,803,3,,,159,15001,151,15003,sctg0109,5,0.0000000
2,803,3,,,159,15001,159,15001,sctg0109,5,0.0000000
2,803,3,,,159,15001,159,15005,sctg0109,5,0.0000000
2,803,3,,,159,15001,159,15007,sctg0109,5,0.0000000
2,803,3,,,159,15001,159,15009,sctg0109,5,0.0000000
2,803,3,,,159,15005,151,15003,sctg0109,5,0.0000000
2,803,3,,,159,15005,159,15001,sctg0109,5,0.0000000
2,803,3,,,159,15005,159,15005,sctg0109,5,0.0000000
2,803,3,,,159,15005,159,15007,sctg0109,5,0.0000000
2,803,3,,,159,15005,159,15009,sctg0109,5,0.0000000
2,803,3,,,159,15007,151,15003,sctg0109,5,0.0000000
2,803,3,,,159,15007,159,15001,sctg0109,5,0.0000000
2,803,3,,,159,15007,159,15005,sctg0109,5,0.0000000
