trade_type,fr_orig,fr_inmode,fr_dest,fr_outmode,dms_orig,dms_orig_cnty,dms_dest,sctgG5,dms_mode,tons_2022
1,,,,,151,15003,011,sctg0109,11,0.0076400
1,,,,,151,15003,011,sctg0109,5,0.0002530
1,,,,,151,15003,012,sctg0109,5,0.0003100
1,,,,,151,15003,019,sctg0109,5,0.0001590
1,,,,,151,15003,020,sctg0109,11,0.0086270
1,,,,,151,15003,041,sctg0109,11,0.0000620
1,,,,,151,15003,041,sctg0109,5,0.0369170
1,,,,,151,15003,042,sctg0109,11,0.0003790
1,,,,,151,15003,049,sctg0109,11,0.0169770
1,,,,,151,15003,050,sctg0109,11,0.0554160
1,,,,,151,15003,061,sctg0109,11,1.1783610
1,,,,,151,15003,061,sctg0109,5,5.3771730
1,,,,,151,15003,062,sctg0109,11,0.0117490
1,,,,,151,15003,062,sctg0109,5,0.0422630
1,,,,,151,15003,063,sctg0109,11,0.1109420
1,,,,,151,15003,063,sctg0109,5,1.6244320
1,,,,,151,15003,064,sctg0109,11,2.4073570
1,,,,,151,15003,064,sctg0109,5,0.0282470
1,,,,,151,15003,065,sctg0109,11,0.0167270
1,,,,,151,15003,065,sctg0109,5,0.0003280
1,,,,,151,15003,069,sctg0109,11,0.0000870
1,,,,,151,15003,069,sctg0109,5,0.0001880
1,,,,,151,15003,081,sctg0109,11,0.0161380
1,,,,,151,15003,081,sctg0109,5,0.0000390
1,,,,,151,15003,089,sctg0109,11,0.0305040
1,,,,,151,15003,089,sctg0109,5,0.0000790
1,,,,,151,15003,091,sctg0109,11,0.0086160
1,,,,,151,15003,092,sctg0109,11,0.0257090
1,,,,,151,15003,092,sctg0109,5,0.0004130
1,,,,,151,15003,101,sctg0109,11,0.0017400
1,,,,,151,15003,101,sctg0109,5,0.0004560
1,,,,,151,15003,111,sctg0109,11,0.0000810
1,,,,,151,15003,111,sctg0109,5,0.0000480
1,,,,,151,15003,121,sctg0109,11,0.0146070
1,,,,,151,15003,122,sctg0109,11,0.0212870
1,,,,,151,15003,122,sctg0109,5,0.0002330
1,,,,,151,15003,123,sctg0109,11,0.0001350
1,,,,,151,15003,123,sctg0109,5,0.0000390
1,,,,,151,15003,124,sctg0109,11,0.0199020
1,,,,,151,15003,124,sctg0109,5,0.0004400
1,,,,,151,15003,129,sctg0109,11,0.8526920
1,,,,,151,15003,129,sctg0109,5,0.0454670
1,,,,,151,15003,131,sctg0109,11,0.0090090
1,,,,,151,15003,131,sctg0109,5,0.0516620
1,,,,,151,15003,139,sctg0109,5,0.0000400
1,,,,,151,15003,160,sctg0109,11,0.0000480
1,,,,,151,15003,160,sctg0109,5,0.0003670
1,,,,,151,15003,171,sctg0109,11,0.0197910
1,,,,,151,15003,171,sctg0109,5,0.0168250
1,,,,,151,15003,172,sctg0109,5,0.0000400
1,,,,,151,15003,179,sctg0109,5,0.0026660
1,,,,,151,15003,182,sctg0109,5,0.0170300
1,,,,,151,15003,183,sctg0109,5,0.0000400
1,,,,,151,15003,189,sctg0109,5,0.0058040
1,,,,,151,15003,190,sctg0109,11,0.0008750
1,,,,,151,15003,201,sctg0109,11,0.0004260
