trade_type,fr_orig,fr_inmode,fr_dest,fr_outmode,dms_orig,dms_dest,dms_dest_cnty,sctgG5,dms_mode,tons_2022
1,,,,,019,159,15001,sctg0109,5,0.1824461
1,,,,,019,159,15005,sctg0109,5,0.0219617
1,,,,,019,159,15007,sctg0109,5,0.0893452
1,,,,,019,159,15009,sctg0109,5,0.1541021
1,,,,,020,151,15003,sctg0109,5,0.0003260
1,,,,,041,151,15003,sctg0109,11,2.3750520
1,,,,,041,151,15003,sctg0109,5,0.0839860
1,,,,,041,159,15001,sctg0109,11,0.4381231
1,,,,,041,159,15001,sctg0109,5,0.0000240
1,,,,,041,159,15005,sctg0109,11,0.0527384
1,,,,,041,159,15005,sctg0109,5,0.0000029
1,,,,,041,159,15007,sctg0109,11,0.2145521
1,,,,,041,159,15007,sctg0109,5,0.0000118
1,,,,,041,159,15009,sctg0109,11,0.3700583
1,,,,,041,159,15009,sctg0109,5,0.0000203
1,,,,,042,159,15001,sctg0109,5,0.0004449
1,,,,,042,159,15005,sctg0109,5,0.0000535
1,,,,,042,159,15007,sctg0109,5,0.0002178
1,,,,,042,159,15009,sctg0109,5,0.0003757
1,,,,,049,151,15003,sctg0109,11,0.0000440
1,,,,,049,151,15003,sctg0109,5,16.6316150
1,,,,,049,159,15001,sctg0109,11,0.0000179
1,,,,,049,159,15005,sctg0109,11,0.0000022
1,,,,,049,159,15007,sctg0109,11,0.0000088
1,,,,,049,159,15009,sctg0109,11,0.0000151
1,,,,,050,151,15003,sctg0109,5,0.0083820
1,,,,,050,159,15001,sctg0109,11,0.2796366
1,,,,,050,159,15005,sctg0109,11,0.0336609
1,,,,,050,159,15007,sctg0109,11,0.1369401
1,,,,,050,159,15009,sctg0109,11,0.2361935
1,,,,,061,151,15003,sctg0109,11,19.9988840
1,,,,,061,151,15003,sctg0109,5,148.1983240
1,,,,,061,159,15001,sctg0109,11,1.1512416
1,,,,,061,159,15001,sctg0109,5,23.6243581
1,,,,,061,159,15005,sctg0109,11,0.1385791
1,,,,,061,159,15005,sctg0109,5,2.8437486
1,,,,,061,159,15007,sctg0109,11,0.5637714
1,,,,,061,159,15007,sctg0109,5,11.5690212
1,,,,,061,159,15009,sctg0109,11,0.9723900
1,,,,,061,159,15009,sctg0109,5,19.9541862
1,,,,,062,151,15003,sctg0109,11,0.3576590
1,,,,,062,151,15003,sctg0109,5,95.3841110
1,,,,,062,159,15001,sctg0109,5,2.1293004
1,,,,,062,159,15005,sctg0109,5,0.2563115
1,,,,,062,159,15007,sctg0109,5,1.0427340
1,,,,,062,159,15009,sctg0109,5,1.7985021
1,,,,,063,151,15003,sctg0109,11,0.0002910
1,,,,,064,151,15003,sctg0109,11,1.2897180
1,,,,,064,151,15003,sctg0109,3,10.9469330
1,,,,,064,151,15003,sctg0109,5,25.8427050
1,,,,,064,159,15001,sctg0109,11,0.1196276
1,,,,,064,159,15001,sctg0109,3,0.0558265
1,,,,,064,159,15001,sctg0109,5,8.1818859
1,,,,,064,159,15005,sctg0109,11,0.0144000
1,,,,,064,159,15005,sctg0109,5,0.9848829
1,,,,,064,159,15007,sctg0109,11,0.0585825
1,,,,,064,159,15007,sctg0109,3,0.0610132
1,,,,,064,159,15007,sctg0109,5,4.0067295
1,,,,,064,159,15009,sctg0109,11,0.1010428
1,,,,,064,159,15009,sctg0109,3,0.0595633
1,,,,,064,159,15009,sctg0109,5,6.9107857
1,,,,,065,151,15003,sctg0109,11,0.0002440
1,,,,,065,151,15003,sctg0109,5,5.6136160
1,,,,,069,151,15003,sctg0109,11,0.8506990
1,,,,,069,151,15003,sctg0109,5,146.9514900
1,,,,,069,159,15001,sctg0109,11,1.5685404
1,,,,,069,159,15001,sctg0109,5,0.0598478
1,,,,,069,159,15005,sctg0109,11,0.1888108
1,,,,,069,159,15005,sctg0109,5,0.0072041
1,,,,,069,159,15007,sctg0109,11,0.7681257
1,,,,,069,159,15007,sctg0109,5,0.0293079
1,,,,,069,159,15009,sctg0109,11,1.3248591
1,,,,,069,159,15009,sctg0109,5,0.0505501
1,,,,,081,151,15003,sctg0109,11,0.0525810
1,,,,,081,151,15003,sctg0109,5,0.0001960
1,,,,,081,159,15001,sctg0109,5,0.0055334
1,,,,,081,159,15005,sctg0109,5,0.0006661
1,,,,,081,159,15007,sctg0109,5,0.0027098
1,,,,,081,159,15009,sctg0109,5,0.0046738
1,,,,,089,151,15003,sctg0109,11,0.0002720
1,,,,,091,151,15003,sctg0109,5,0.7914820
1,,,,,122,151,15003,sctg0109,5,8.6298830
1,,,,,122,159,15001,sctg0109,11,1.0309059
1,,,,,122,159,15001,sctg0109,5,5.1440664
1,,,,,122,159,15005,sctg0109,11,0.1240938
1,,,,,122,159,15005,sctg0109,5,0.6192097
1,,,,,122,159,15007,sctg0109,11,0.5048422
1,,,,,122,159,15007,sctg0109,5,2.5190870
1,,,,,122,159,15009,sctg0109,11,0.8707491
1,,,,,122,159,15009,sctg0109,5,4.3449079
1,,,,,129,151,15003,sctg0109,5,0.0004440
1,,,,,160,151,15003,sctg0109,5,1.0467340
1,,,,,171,151,15003,sctg0109,11,0.0305000
1,,,,,171,159,15001,sctg0109,11,0.0052442
1,,,,,171,159,15001,sctg0109,5,0.0000236
1,,,,,171,159,15005,sctg0109,11,0.0006313
1,,,,,171,159,15005,sctg0109,5,0.0000028
1,,,,,171,159,15007,sctg0109,11,0.0025681
1,,,,,171,159,15007,sctg0109,5,0.0000116
1,,,,,171,159,15009,sctg0109,11,0.0044295
1,,,,,171,159,15009,sctg0109,5,0.0000200
1,,,,,183,151,15003,sctg0109,5,5.3196750
1,,,,,189,151,15003,sctg0109,5,0.0005310
1,,,,,190,151,15003,sctg0109,11,0.0002230
1,,,,,190,151,15003,sctg0109,5,10.5611470
1,,,,,190,159,15001,sctg0109,11,0.0000224
1,,,,,190,159,15005,sctg0109,11,0.0000027
1,,,,,190,159,15007,sctg0109,11,0.0000110
1,,,,,190,159,15009,sctg0109,11,0.0000189
1,,,,,201,151,15003,sctg0109,11,0.0003920
1,,,,,201,159,15001,sctg0109,11,0.0003666
1,,,,,201,159,15005,sctg0109,11,0.0000441
1,,,,,201,159,15007,sctg0109,11,0.0001795
1,,,,,201,159,15009,sctg0109,11,0.0003097
1,,,,,209,151,15003,sctg0109,5,0.0000910
1,,,,,211,151,15003,sctg0109,11,0.0332830
1,,,,,212,151,15003,sctg0109,5,0.0033650
1,,,,,219,151,15003,sctg0109,5,0.0324440
1,,,,,219,159,15001,sctg0109,11,0.0498447
1,,,,,219,159,15001,sctg0109,5,3.7794951
1,,,,,219,159,15005,sctg0109,11,0.0060000
1,,,,,219,159,15005,sctg0109,5,0.4549514
1,,,,,219,159,15007,sctg0109,11,0.0244093
1,,,,,219,159,15007,sctg0109,5,1.8508464
1,,,,,219,159,15009,sctg0109,11,0.0421010
1,,,,,219,159,15009,sctg0109,5,3.1923301
1,,,,,230,151,15003,sctg0109,11,0.9765790
1,,,,,251,151,15003,sctg0109,11,1.3052740
1,,,,,251,151,15003,sctg0109,5,0.7861790
1,,,,,251,159,15001,sctg0109,11,0.0485231
1,,,,,251,159,15001,sctg0109,5,0.0269920
1,,,,,251,159,15005,sctg0109,11,0.0058409
1,,,,,251,159,15005,sctg0109,5,0.0032491
1,,,,,251,159,15007,sctg0109,11,0.0237621
1,,,,,251,159,15007,sctg0109,5,0.0132182
1,,,,,251,159,15009,sctg0109,11,0.0409848
1,,,,,251,159,15009,sctg0109,5,0.0227987
1,,,,,259,151,15003,sctg0109,11,0.0002360
1,,,,,261,151,15003,sctg0109,5,0.0001150
1,,,,,262,151,15003,sctg0109,11,0.0460680
1,,,,,291,151,15003,sctg0109,5,0.0093330
1,,,,,292,151,15003,sctg0109,11,0.7630440
1,,,,,292,159,15001,sctg0109,5,0.0011741
1,,,,,292,159,15005,sctg0109,5,0.0001413
1,,,,,292,159,15007,sctg0109,5,0.0005749
1,,,,,292,159,15009,sctg0109,5,0.0009917
1,,,,,321,151,15003,sctg0109,11,0.0002720
1,,,,,321,151,15003,sctg0109,5,3.8954670
1,,,,,329,151,15003,sctg0109,11,0.0002720
1,,,,,329,159,15001,sctg0109,5,0.7353922
1,,,,,329,159,15005,sctg0109,5,0.0885218
1,,,,,329,159,15007,sctg0109,5,0.3601269
1,,,,,329,159,15009,sctg0109,5,0.6211450
1,,,,,339,151,15003,sctg0109,5,0.0000530
1,,,,,341,151,15003,sctg0109,11,3.2152960
1,,,,,341,151,15003,sctg0109,5,0.0679780
1,,,,,341,159,15001,sctg0109,11,0.0000301
1,,,,,341,159,15005,sctg0109,11,0.0000036
1,,,,,341,159,15007,sctg0109,11,0.0000148
1,,,,,341,159,15009,sctg0109,11,0.0000255
1,,,,,342,151,15003,sctg0109,11,0.6005060
1,,,,,350,151,15003,sctg0109,5,0.0000420
1,,,,,350,159,15001,sctg0109,5,0.0012421
1,,,,,350,159,15005,sctg0109,5,0.0001495
1,,,,,350,159,15007,sctg0109,5,0.0006083
1,,,,,350,159,15009,sctg0109,5,0.0010491
1,,,,,361,151,15003,sctg0109,5,0.0000480
1,,,,,362,151,15003,sctg0109,5,0.0000450
1,,,,,362,159,15001,sctg0109,5,0.0000440
1,,,,,362,159,15005,sctg0109,5,0.0000053
1,,,,,362,159,15007,sctg0109,5,0.0000215
1,,,,,362,159,15009,sctg0109,5,0.0000372
1,,,,,363,151,15003,sctg0109,5,0.0073310
1,,,,,364,151,15003,sctg0109,5,0.0040790
1,,,,,364,159,15001,sctg0109,5,0.0002269
1,,,,,364,159,15005,sctg0109,5,0.0000273
1,,,,,364,159,15007,sctg0109,5,0.0001111
1,,,,,364,159,15009,sctg0109,5,0.0001917
1,,,,,369,151,15003,sctg0109,5,0.0134950
1,,,,,372,151,15003,sctg0109,11,0.0803720
1,,,,,380,159,15001,sctg0109,5,0.0192262
1,,,,,380,159,15005,sctg0109,5,0.0023143
1,,,,,380,159,15007,sctg0109,5,0.0094152
1,,,,,380,159,15009,sctg0109,5,0.0162393
1,,,,,391,151,15003,sctg0109,5,0.0991300
1,,,,,391,159,15001,sctg0109,5,0.0654591
1,,,,,391,159,15005,sctg0109,5,0.0078795
1,,,,,391,159,15007,sctg0109,5,0.0320558
1,,,,,391,159,15009,sctg0109,5,0.0552896
1,,,,,392,151,15003,sctg0109,5,0.0000510
1,,,,,393,151,15003,sctg0109,5,0.1127690
1,,,,,393,159,15001,sctg0109,5,0.0017432
1,,,,,393,159,15005,sctg0109,5,0.0002098
1,,,,,393,159,15007,sctg0109,5,0.0008536
1,,,,,393,159,15009,sctg0109,5,0.0014724
1,,,,,399,159,15001,sctg0109,5,0.0000464
1,,,,,399,159,15005,sctg0109,5,0.0000056
1,,,,,399,159,15007,sctg0109,5,0.0000227
1,,,,,399,159,15009,sctg0109,5,0.0000392
1,,,,,409,151,15003,sctg0109,5,0.0001670
1,,,,,411,151,15003,sctg0109,5,0.7743020
1,,,,,419,151,15003,sctg0109,11,0.0149260
1,,,,,419,151,15003,sctg0109,5,0.0405500
1,,,,,419,159,15001,sctg0109,11,0.1725920
1,,,,,419,159,15001,sctg0109,5,0.0286146
1,,,,,419,159,15005,sctg0109,11,0.0207755
1,,,,,419,159,15005,sctg0109,5,0.0034444
1,,,,,419,159,15007,sctg0109,11,0.0845196
1,,,,,419,159,15007,sctg0109,5,0.0140128
1,,,,,419,159,15009,sctg0109,11,0.1457789
1,,,,,419,159,15009,sctg0109,5,0.0241692
1,,,,,421,151,15003,sctg0109,11,0.0456090
1,,,,,423,151,15003,sctg0109,11,0.0079600
1,,,,,429,159,15001,sctg0109,5,0.0000269
1,,,,,429,159,15005,sctg0109,5,0.0000032
1,,,,,429,159,15007,sctg0109,5,0.0000132
1,,,,,429,159,15009,sctg0109,5,0.0000227
1,,,,,452,151,15003,sctg0109,5,0.0000400
1,,,,,459,151,15003,sctg0109,11,0.0001450
1,,,,,459,151,15003,sctg0109,5,0.0045310
