trade_type,dms_orig,dms_dest,dms_mode,sctg2,fr_orig,fr_dest,fr_inmode,fr_outmode,tons_2024,current_value_2024
Domestic flows,Los Angeles CA,Rest of HI,Air (include truck-air),Live animals/fish,,,,,30.708,1549171
Domestic flows,Honolulu HI,Honolulu HI,Truck,Live animals/fish,,,,,21567.967,218941679
Domestic flows,Rest of HI,Sacramento CA,Multiple modes & mail,Live animals/fish,,,,,4241.821,18740108
Domestic flows,Rest of HI,Rest of HI,Multiple modes & mail,Live animals/fish,,,,,23210.187,193666829
Domestic flows,San Francisco CA,Rest of HI,Multiple modes & mail,Cereal grains,,,,,48.506,1181501
Domestic flows,Honolulu HI,Honolulu HI,Truck,Cereal grains,,,,,28877.08,166695164
Domestic flows,Rest of HI,Rest of HI,Truck,Cereal grains,,,,,11056.389,51785846
Domestic flows,Rest of HI,Rest of HI,Multiple modes & mail,Cereal grains,,,,,5131.258,29671063
Domestic flows,Rest of AZ,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,0.049,499
Domestic flows,Rest of AZ,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,10646.003,3963754
Domestic flows,Rest of AZ,Rest of HI,Air (include truck-air),Other ag prods.,,,,,0.049,354
Domestic flows,Los Angeles CA,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,4078.718,14930217
Domestic flows,Los Angeles CA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,54712.025,65176298
Domestic flows,Los Angeles CA,Rest of HI,Air (include truck-air),Other ag prods.,,,,,0.053,1228
Domestic flows,Los Angeles CA,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,8471.88,23282010
Domestic flows,Sacramento CA,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,684.739,57422
Domestic flows,San Diego CA,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,0.05,1582
Domestic flows,San Francisco CA,Honolulu HI,Air (include truck-air),Other ag prods.,,,,,59.705,1236901
Domestic flows,San Francisco CA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,75.757,13288
Domestic flows,San Francisco CA,Rest of HI,Air (include truck-air),Other ag prods.,,,,,0.05,165
Domestic flows,San Francisco CA,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,403.441,2404802
Domestic flows,Fresno CA,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,1289.594,1208270
Domestic flows,Miami FL,Honolulu HI,Multiple modes & mail,Other ag prods.,,,,,0.224,114969
Domestic flows,Miami FL,Rest of HI,Air (include truck-air),Other ag prods.,,,,,892.694,15397823
Domestic flows,Miami FL,Rest of HI,Multiple modes & mail,Other ag prods.,,,,,4.876,782
Domestic flows,Honolulu HI,Phoenix AZ,Multiple modes & mail,Other ag prods.,,,,,0.039,100
Domestic flows,Honolulu HI,Los Angeles CA,Air (include truck-air),Other ag prods.,,,,,0.048,102
Domestic flows,Honolulu HI,Los Angeles CA,Multiple modes & mail,Other ag prods.,,,,,0.04,99
Domestic flows,Honolulu HI,Sacramento CA,Air (include truck-air),Other ag prods.,,,,,0.039,850
Domestic flows,Honolulu HI,San Diego CA,Air (include truck-air),Other ag prods.,,,,,0.051,101
Domestic flows,Honolulu HI,San Diego CA,Multiple modes & mail,Other ag prods.,,,,,0.04,99
Domestic flows,Honolulu HI,San Francisco CA,Air (include truck-air),Other ag prods.,,,,,0.046,101
Domestic flows,Honolulu HI,San Francisco CA,Multiple modes & mail,Other ag prods.,,,,,0.039,99
Domestic flows,Honolulu HI,Rest of CA,Air (include truck-air),Other ag prods.,,,,,0.039,667
Domestic flows,Honolulu HI,Rest of CA,Multiple modes & mail,Other ag prods.,,,,,0.039,141
Domestic flows,Honolulu HI,Denver CO,Multiple modes & mail,Other ag prods.,,,,,0.039,100
Domestic flows,Honolulu HI,Rest of CO,Multiple modes & mail,Other ag prods.,,,,,0.039,127
