trade_type,dms_origst,dms_destst,dms_mode,sctg2,fr_orig,fr_dest,fr_inmode,fr_outmode,tons_2024,current_value_2024
Domestic flows,California,Hawaii,Air (include truck-air),Live animals/fish,,,,,30.708,1549171
Domestic flows,Hawaii,California,Multiple modes & mail,Live animals/fish,,,,,4241.821,18740108
Domestic flows,Hawaii,Hawaii,Truck,Live animals/fish,,,,,21567.967,218941679
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Live animals/fish,,,,,23210.187,193666829
Domestic flows,California,Hawaii,Multiple modes & mail,Cereal grains,,,,,48.506,1181501
Domestic flows,Hawaii,Hawaii,Truck,Cereal grains,,,,,39933.469,218481010
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Cereal grains,,,,,5131.258,29671063
Domestic flows,Arizona,Hawaii,Air (include truck-air),Other ag prods.,,,,,0.098,853
Domestic flows,Arizona,Hawaii,Multiple modes & mail,Other ag prods.,,,,,10646.003,3963754
Domestic flows,California,Hawaii,Air (include truck-air),Other ag prods.,,,,,4138.576,16170093
Domestic flows,California,Hawaii,Multiple modes & mail,Other ag prods.,,,,,65637.436,92142090
Domestic flows,Florida,Hawaii,Air (include truck-air),Other ag prods.,,,,,892.694,15397823
Domestic flows,Florida,Hawaii,Multiple modes & mail,Other ag prods.,,,,,5.1,115751
Domestic flows,Hawaii,Alaska,Multiple modes & mail,Other ag prods.,,,,,0.189,86606
Domestic flows,Hawaii,Arizona,Multiple modes & mail,Other ag prods.,,,,,0.079,207
Domestic flows,Hawaii,California,Air (include truck-air),Other ag prods.,,,,,186.9,2774891
Domestic flows,Hawaii,California,Multiple modes & mail,Other ag prods.,,,,,351.176,23717988
Domestic flows,Hawaii,Colorado,Air (include truck-air),Other ag prods.,,,,,1.988,860703
Domestic flows,Hawaii,Colorado,Multiple modes & mail,Other ag prods.,,,,,0.156,8679
Domestic flows,Hawaii,Connecticut,Multiple modes & mail,Other ag prods.,,,,,0.579,178144
Domestic flows,Hawaii,Washington DC,Air (include truck-air),Other ag prods.,,,,,0.081,122
Domestic flows,Hawaii,Washington DC,Multiple modes & mail,Other ag prods.,,,,,0.954,150594
Domestic flows,Hawaii,Florida,Air (include truck-air),Other ag prods.,,,,,83.586,806234
Domestic flows,Hawaii,Florida,Multiple modes & mail,Other ag prods.,,,,,2237.082,11810428
Domestic flows,Hawaii,Georgia,Air (include truck-air),Other ag prods.,,,,,0.309,620
Domestic flows,Hawaii,Georgia,Multiple modes & mail,Other ag prods.,,,,,0.104,241
Domestic flows,Hawaii,Hawaii,Truck,Other ag prods.,,,,,510575.763,701339745
Domestic flows,Hawaii,Hawaii,Water,Other ag prods.,,,,,0.041,99
Domestic flows,Hawaii,Hawaii,Air (include truck-air),Other ag prods.,,,,,4517.342,41252468
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Other ag prods.,,,,,0.046,100
Domestic flows,Hawaii,Hawaii,Multiple modes & mail,Other ag prods.,,,,,205986.821,343063066
Domestic flows,Hawaii,Idaho,Multiple modes & mail,Other ag prods.,,,,,0.302,792
Domestic flows,Hawaii,Illinois,Multiple modes & mail,Other ag prods.,,,,,1.865,647835
Domestic flows,Hawaii,Indiana,Multiple modes & mail,Other ag prods.,,,,,0.22,567
Domestic flows,Hawaii,Iowa,Air (include truck-air),Other ag prods.,,,,,0.485,228771
Domestic flows,Hawaii,Iowa,Multiple modes & mail,Other ag prods.,,,,,0.228,594
Domestic flows,Hawaii,Kansas,Multiple modes & mail,Other ag prods.,,,,,0.04,203
Domestic flows,Hawaii,Louisiana,Multiple modes & mail,Other ag prods.,,,,,0.101,8354
Domestic flows,Hawaii,Maine,Air (include truck-air),Other ag prods.,,,,,0.27,100
Domestic flows,Hawaii,Maine,Multiple modes & mail,Other ag prods.,,,,,0.039,12834
Domestic flows,Hawaii,Maryland,Multiple modes & mail,Other ag prods.,,,,,0.039,6932
Domestic flows,Hawaii,Massachusetts,Air (include truck-air),Other ag prods.,,,,,0.195,205
Domestic flows,Hawaii,Massachusetts,Multiple modes & mail,Other ag prods.,,,,,0.097,278
Domestic flows,Hawaii,Michigan,Air (include truck-air),Other ag prods.,,,,,0.176,100
Domestic flows,Hawaii,Michigan,Multiple modes & mail,Other ag prods.,,,,,2.62,1274907
Domestic flows,Hawaii,Minnesota,Multiple modes & mail,Other ag prods.,,,,,1.396,749550
Domestic flows,Hawaii,Mississippi,Multiple modes & mail,Other ag prods.,,,,,0.097,283
Domestic flows,Hawaii,Missouri,Air (include truck-air),Other ag prods.,,,,,0.209,105684
Domestic flows,Hawaii,Missouri,Multiple modes & mail,Other ag prods.,,,,,0.377,15221
Domestic flows,Hawaii,Nebraska,Multiple modes & mail,Other ag prods.,,,,,0.162,16825
Domestic flows,Hawaii,Nevada,Air (include truck-air),Other ag prods.,,,,,7.85,91998
Domestic flows,Hawaii,Nevada,Multiple modes & mail,Other ag prods.,,,,,1.094,498915
Domestic flows,Hawaii,New Jersey,Air (include truck-air),Other ag prods.,,,,,0.039,3646
Domestic flows,Hawaii,New Jersey,Multiple modes & mail,Other ag prods.,,,,,0.178,2299
Domestic flows,Hawaii,New Mexico,Multiple modes & mail,Other ag prods.,,,,,0.107,548
Domestic flows,Hawaii,New York,Air (include truck-air),Other ag prods.,,,,,1.176,602431
Domestic flows,Hawaii,New York,Multiple modes & mail,Other ag prods.,,,,,1.218,596103
Domestic flows,Hawaii,North Carolina,Air (include truck-air),Other ag prods.,,,,,0.041,99
Domestic flows,Hawaii,North Carolina,Multiple modes & mail,Other ag prods.,,,,,0.164,299
Domestic flows,Hawaii,Ohio,Air (include truck-air),Other ag prods.,,,,,0.155,178
Domestic flows,Hawaii,Ohio,Multiple modes & mail,Other ag prods.,,,,,0.497,176349
Domestic flows,Hawaii,Oklahoma,Air (include truck-air),Other ag prods.,,,,,0.26,776
Domestic flows,Hawaii,Oklahoma,Multiple modes & mail,Other ag prods.,,,,,1.309,551733
Domestic flows,Hawaii,Oregon,Air (include truck-air),Other ag prods.,,,,,0.078,774
Domestic flows,Hawaii,Oregon,Multiple modes & mail,Other ag prods.,,,,,5.157,2217088
Domestic flows,Hawaii,Pennsylvania,Air (include truck-air),Other ag prods.,,,,,1.337,543741
