Company,Direction,Description,Quantity Reported,SHORT TON,"TEU
CALCULATED","AMOUNT REMITTED -
FOR QUANTITIES
REPORTED"
MATSON NAVIGATION COMPANY INC.,IN,60-01 Automobile in container or frame each,19977,29965.5,13318,1350944.04
MATSON NAVIGATION COMPANY INC.,IN,60-19 Explosives ton,3990,3990,,244102.95
MATSON NAVIGATION COMPANY INC.,IN,60-22 General Merchandise (NOS) ton,4972,4972,,40627.16
MATSON NAVIGATION COMPANY INC.,IN,60-44 Vehicles ton,100026,100026,,771154.5
MATSON NAVIGATION COMPANY INC.,IN,60-73 Shipping Device Loaded 45ft. each,25451,559922,57264.75,8864665.27
MATSON NAVIGATION COMPANY INC.,IN,60-74 Shipping Device Loaded 40ft. each,89567,1970474,179134,31196064.03
MATSON NAVIGATION COMPANY INC.,IN,60-77 Shipping Device Loaded 20ft. each,5214,62568,5214,907612.36
MATSON NAVIGATION COMPANY INC.,IN,60-80 Shipping Device Empty 40ft. each,382,-,764,-
MATSON NAVIGATION COMPANY INC.,IN,60-83 Shipping Device Empty 20ft. each,168,-,168,-
MATSON NAVIGATION COMPANY INC.,IN,60-97 Shipping Device Empty 45ft. each,18,-,40.5,-
PASHA HAWAII TRANSPORT LINES LLC,IN,60-73 Shipping Device Loaded 45ft. each,25704,565488,57834,8939801.68
PASHA HAWAII TRANSPORT LINES LLC,IN,60-74 Shipping Device Loaded 40ft. each,48417,1065174,96834,16842678.69
PASHA HAWAII TRANSPORT LINES LLC,IN,60-77 Shipping Device Loaded 20ft. each,2502,30024,2502,435046.12
PASHA HAWAII TRANSPORT LINES LLC,IN,60-80 Shipping Device Empty 40ft. each,21,-,42,-
PASHA HAWAII TRANSPORT LINES LLC,IN,60-83 Shipping Device Empty 20ft. each,218,-,218,-
PASHA HAWAII TRANSPORT LINES LLC,IN,60-97 Shipping Device Empty 45ft. each,1,-,2.25,-
WALDRON NORTON LILLY INTERNATIONAL LLC,IN,60-73 Shipping Device Loaded 45ft. each,61,1342,137.25,21064.73
WALDRON NORTON LILLY INTERNATIONAL LLC,IN,60-74 Shipping Device Loaded 40ft. each,4071,89562,8142,1415940.59
WALDRON NORTON LILLY INTERNATIONAL LLC,IN,60-77 Shipping Device Loaded 20ft. each,1549,18588,1549,269495.1
WALDRON NORTON LILLY INTERNATIONAL LLC,IN,60-80 Shipping Device Empty 40ft. each,13,-,26,-
WALDRON NORTON LILLY INTERNATIONAL LLC,IN,60-83 Shipping Device Empty 20ft. each,163,-,163,-
WALDRON NORTON LILLY INTERNATIONAL LLC,IN,60-97 Shipping Device Empty 45ft. each,3,-,6.75,-
