Port,Commodity,Country,Time,Vessel Customs Value (Gen) ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (Gen) (kg),Containerized Vessel SWT (Gen) (kg)
"Honolulu, HI (Port)",02 Meat And Edible Meat Offal,World Total,2024,"10,007,576","10,007,576","1,896,818","1,896,818"
"Honolulu, HI (Port)","03 Fish, Crustaceans & Aquatic Invertebrates",World Total,2024,"40,224,404","40,199,248","5,538,868","5,536,579"
"Honolulu, HI (Port)",04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,World Total,2024,"200,167","125,463","75,390","61,587"
"Honolulu, HI (Port)","05 Products Of Animal Origin, Nesoi",World Total,2024,"4,970,342","4,970,342","4,455,274","4,455,274"
"Honolulu, HI (Port)","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",World Total,2024,"116,359","116,359","6,580","6,580"
"Honolulu, HI (Port)",07 Edible Vegetables & Certain Roots & Tubers,World Total,2024,"2,449,701","2,449,701","1,374,936","1,374,936"
"Honolulu, HI (Port)",08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,World Total,2024,"3,718,591","3,718,591","1,495,995","1,495,995"
"Honolulu, HI (Port)","09 Coffee, Tea, Mate & Spices",World Total,2024,"1,422,184","1,245,424","177,265","170,064"
"Honolulu, HI (Port)",10 Cereals,World Total,2024,"8,306,441","8,266,741","7,526,594","7,512,393"
"Honolulu, HI (Port)",11 Milling Products; Malt; Starch; Inulin; Wht Gluten,World Total,2024,"1,033,545","1,033,545","1,008,227","1,008,227"
"Honolulu, HI (Port)","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",World Total,2024,"410,949","407,962","42,906","42,498"
"Honolulu, HI (Port)","13 Lac; Gums, Resins & Other Vegetable Sap & Extract",World Total,2024,"16,688","16,688","1,383","1,383"
"Honolulu, HI (Port)",14 Vegetable Plaiting Materials & Products Nesoi,World Total,2024,"294,455","275,074","319,088","315,019"
"Honolulu, HI (Port)","15 Animal, Vegetable Or Microbial Fats And Oils Etc",World Total,2024,"3,733,453","3,697,224","864,956","861,458"
"Honolulu, HI (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",World Total,2024,"13,674,948","13,467,637","2,689,314","2,670,204"
"Honolulu, HI (Port)",17 Sugars And Sugar Confectionary,World Total,2024,"7,114,122","6,924,226","3,365,669","3,340,519"
"Honolulu, HI (Port)",18 Cocoa And Cocoa Preparations,World Total,2024,"813,268","813,268","78,274","78,274"
"Honolulu, HI (Port)","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares",World Total,2024,"27,719,940","27,657,264","8,351,132","8,327,886"
"Honolulu, HI (Port)","20 Prep Vegetables, Fruit, Nuts Or Other Plant Parts",World Total,2024,"17,707,636","17,693,052","6,978,023","6,972,958"
"Honolulu, HI (Port)",21 Miscellaneous Edible Preparations,World Total,2024,"22,300,886","22,105,890","8,656,156","8,614,612"
"Honolulu, HI (Port)","22 Beverages, Spirits And Vinegar",World Total,2024,"14,080,675","13,807,665","9,903,671","9,705,547"
"Honolulu, HI (Port)",23 Food Industry Residues & Waste; Prep Animal Feed,World Total,2024,"437,761","437,761","349,675","349,675"
"Honolulu, HI (Port)",24 Tobacco & Subs;prod For Inhal W/o Combust;nic Prod,World Total,2024,"21,590","21,590",692,692
"Honolulu, HI (Port)",25 Salt; Sulfur; Earth & Stone; Lime & Cement Plaster,World Total,2024,"19,170,115","1,664,683","491,931,299","55,332,809"
"Honolulu, HI (Port)","26 Ores, Slag And Ash",World Total,2024,"169,568","169,568","6,728,862","6,728,862"
"Honolulu, HI (Port)","27 Mineral Fuel, Oil Etc.; Bitumin Subst; Mineral Wax",World Total,2024,"629,140,687","10,120,692","776,224,216","14,837,226"
"Honolulu, HI (Port)",28 Inorg Chem; Prec & Rare-earth Met & Radioact Compd,World Total,2024,"828,074","828,074","2,392,919","2,392,919"
"Honolulu, HI (Port)",29 Organic Chemicals,World Total,2024,"402,255","402,255","347,460","347,460"
"Honolulu, HI (Port)",30 Pharmaceutical Products,World Total,2024,"69,643",,"1,229",
"Honolulu, HI (Port)",31 Fertilizers,World Total,2024,"867,063","863,751","1,735,559","1,733,559"
"Honolulu, HI (Port)","32 Tanning & Dye Ext Etc; Dye, Paint, Putty Etc; Inks",World Total,2024,"145,884","121,884","37,159","36,679"
"Honolulu, HI (Port)","33 Essential Oils Etc; Perfumery, Cosmetic Etc Preps",World Total,2024,"2,699,359","2,046,890","550,310","521,220"
"Honolulu, HI (Port)","34 Soap Etc; Waxes, Polish Etc; Candles; Dental Preps",World Total,2024,"976,977","913,281","388,604","379,579"
"Honolulu, HI (Port)",35 Albuminoidal Subst; Modified Starch; Glue; Enzymes,World Total,2024,"48,439","48,439","24,679","24,679"
"Honolulu, HI (Port)",36 Explosives; Pyrotechnics; Matches; Pyro Alloys Etc,World Total,2024,"1,116,160","1,116,160","342,757","342,757"
"Honolulu, HI (Port)",38 Miscellaneous Chemical Products,World Total,2024,"2,000,768","1,923,613","714,268","707,264"
"Honolulu, HI (Port)",39 Plastics And Articles Thereof,World Total,2024,"53,258,123","51,380,183","19,995,532","18,531,687"
"Honolulu, HI (Port)",40 Rubber And Articles Thereof,World Total,2024,"6,383,842","6,367,226","2,312,109","2,305,813"
"Honolulu, HI (Port)",41 Raw Hides And Skins (no Furskins) And Leather,World Total,2024,"5,932",,152,
"Honolulu, HI (Port)",42 Leather Art; Saddlery Etc; Handbags Etc; Gut Art,World Total,2024,"11,702,978","10,758,461","1,960,321","1,881,070"
"Honolulu, HI (Port)",44 Wood And Articles Of Wood; Wood Charcoal,World Total,2024,"14,668,387","14,194,819","6,949,992","6,850,051"
"Honolulu, HI (Port)",45 Cork And Articles Of Cork,World Total,2024,"29,348","29,348","31,252","31,252"
"Honolulu, HI (Port)","46 Mfr Of Straw, Esparto Etc.; Basketware & Wickerwrk",World Total,2024,"516,889","511,914","80,959","76,748"
"Honolulu, HI (Port)",48 Paper & Paperboard & Articles (inc Papr Pulp Artl),World Total,2024,"18,832,347","18,242,432","10,707,083","10,555,934"
"Honolulu, HI (Port)","49 Printed Books, Newspapers Etc; Manuscripts Etc",World Total,2024,"3,291,571","2,334,239","767,317","581,887"
"Honolulu, HI (Port)","51 Wool & Animal Hair, Including Yarn & Woven Fabric",World Total,2024,"1,078","1,078",65,65
"Honolulu, HI (Port)","52 Cotton, Including Yarn And Woven Fabric Thereof",World Total,2024,"3,899,935","3,126,559","317,681","266,140"
"Honolulu, HI (Port)",53 Veg Text Fib Nesoi; Veg Fib & Paper Yns & Wov Fab,World Total,2024,"127,034","110,854","203,219","159,472"
"Honolulu, HI (Port)","54 Manmade Filaments, Including Yarns & Woven Fabrics",World Total,2024,"856,787","337,176","190,277","157,481"
