State,Commodity,Country,Time,Vessel Value ($US),Customs Containerized Vessel Value (Gen) ($US),Vessel SWT (kg),Containerized Vessel SWT (Gen) (kg)
Hawaii,02 Meat And Edible Meat Offal,World Total,2024,"10,142,828","10,142,828","1,920,288","1,920,288"
Hawaii,"03 Fish, Crustaceans & Aquatic Invertebrates",World Total,2024,"58,763,813","58,738,657","7,481,208","7,478,919"
Hawaii,04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi,World Total,2024,"194,767","120,063","72,420","58,617"
Hawaii,"05 Products Of Animal Origin, Nesoi",World Total,2024,"4,970,342","4,970,342","4,455,274","4,455,274"
Hawaii,"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.",World Total,2024,"116,359","116,359","6,580","6,580"
Hawaii,07 Edible Vegetables & Certain Roots & Tubers,World Total,2024,"2,458,150","2,458,150","1,371,009","1,371,009"
Hawaii,08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel,World Total,2024,"5,549,503","5,549,503","1,646,717","1,646,717"
Hawaii,"09 Coffee, Tea, Mate & Spices",World Total,2024,"1,456,597","1,220,003","178,273","167,485"
Hawaii,10 Cereals,World Total,2024,"7,685,347","7,645,647","6,914,405","6,900,204"
Hawaii,11 Milling Products; Malt; Starch; Inulin; Wht Gluten,World Total,2024,"1,156,724","1,156,724","1,134,175","1,134,175"
Hawaii,"12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",World Total,2024,"1,445,878","1,442,891","60,873","60,465"
Hawaii,"13 Lac; Gums, Resins & Other Vegetable Sap & Extract",World Total,2024,"16,688","16,688","1,383","1,383"
Hawaii,14 Vegetable Plaiting Materials & Products Nesoi,World Total,2024,"210,474","191,093","211,201","207,132"
Hawaii,"15 Animal, Vegetable Or Microbial Fats And Oils Etc",World Total,2024,"3,972,255","3,936,026","892,328","888,830"
Hawaii,"16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",World Total,2024,"14,666,461","14,438,943","2,878,463","2,854,153"
Hawaii,17 Sugars And Sugar Confectionary,World Total,2024,"7,325,323","7,135,427","3,392,333","3,367,183"
